問題,回答內容,延伸閱讀或連結,相關法規,提供單位
創客俱樂部繳社費有什麼好處,可以終生享有社員的權利與義務喔！包含原則上減免 300 元，與可以借用社辦器械等等的福利。詳情請見〈Makereal Labs 組織章程〉。,社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部繳社費跟沒繳社費差別在哪裡,"你會損失社員的福利喔。
- 原則上，我們每堂社課會給社員減免 300 元。繳交社費後，你只要參加兩次社課就能回本了。
- 社員可以借用社辦的器材等等，但是非社員不可以喔！",,,
創客俱樂部的社費有多少是回饋給社員,基本上，付 500 元社費就享有終生每堂社課減免 300 元，超級賺的！社員的社費也主要是用來購買社團的耗材、整修社團的裝置等等。可說是都回饋給了社員呢！,,,
創客俱樂部目前遇到的問題,"喵？什麼問題？😺

好啦言歸正傳，我們社團的運作十分良好，少數的問題是幹部有點太勞累。我們考慮在未來擴招幹部，解決這個問題。請熱衷本社活動的社員們，隨時注意消息喔！",,,
創客俱樂部面臨的主要挑戰是什麼,本社的課程，比起其他社團，持續的週數相對地多。在這個內卷日益嚴重的風氣下，該怎麼讓同學暫時放下手邊的工作、參與社團活動，想必是未來會面臨的主要挑戰吧！,,,
創客俱樂部有經費上的困難嗎,沒有喔！本社在寒假創客營與暑假創客營時，都會有一筆足夠支撐未來一學期社團事務的進賬，感謝幹部們與工人們的努力。另外，幹部們也會儘可能地接下各級政府機關、教育單位或其他組織的案子，在幫社團賺一點外快的同時，對社會產生正面的影響。,,,
創客俱樂部很多人嗎,幹部現任有 11 人喔！而社員的總數實在是太多了，不翻社員名單還數不清呢——誰叫我們是個百人大社呢！,,,
創客俱樂部的未來發展方面是什麼,我們以舉辦交大黑客松為目標，希望未來能吸引各大學的創客前來比賽。在提升本社影響力的同時，促進本校工程領域的實作風氣！,,,
創客俱樂部未來有哪些計畫,我們會前往竹北高中舉辦工作坊、參加交大台灣與沙烏地阿拉伯的創客實作活動。下學期（113 學年度上學期）開始，我們將會在沒有社課的那幾週舉辦 Maker's Night（定期社員聚會），歡迎大家來參與！,,,
創客俱樂部未來的規劃,我們會前往竹北高中舉辦工作坊、參加交大台灣與沙烏地阿拉伯的創客實作活動。下學期（113 學年度上學期）開始，我們將會在沒有社課的那幾週舉辦 Maker's Night（定期社員聚會），歡迎大家來參與！,,,
創客俱樂部未來希望達成的目標,我們希望可以效仿臺大，舉辦交大自己的黑客松！如此一來，我們能使更多人對工程領域感興趣，也能推廣創客風氣。,,,
創客俱樂部現在積極在改進的部分,我們正在試圖讓研發的過程、社課的內容更為環保。另外，我們也努力地在把社團事務電子化跟透明化。請大家不吝指教！,,,
創客俱樂部過去的豐功偉業,我們每次在各類型的創客松（如臺大創客松 MakeNTU、梅竹黑客松等等）都能夠入圍拿獎！企業贊助賺起來！,,,
創客俱樂部畢業成員還可以參加社團活動嗎,當然可以！只要你已經加入創客俱樂部，就可以繼續用與社員同等的優惠待遇參加活動。,,,
創客俱樂部畢業成員參加社團活動需要繳錢嗎,只要繳交 500 元社費者即成為社員。但因為材料價格較為高昂的緣故，畢業社員依然需要如在學社員般繳交社課費用。然而畢業之後，將仍保有與社員同等的優惠待遇，可以在參與社團活動時獲得相同的抵免。,,,
創客俱樂部的畢業成員還會參加社團活動嗎,會的！很多學長姊都會自發性地作為活動中的機動人員，回來參加與協助我們面向高中生的寒暑假創客營！,,,
創客俱樂部發生過最有趣的事情,我們的副社每天都會很有趣地唱歌,,,
創客俱樂部發生過最感人的事情,我們的副社每天都會很感人地唱歌,,,
創客俱樂部發生過最熱血的事情,我們的副社每天都會很熱血地唱歌,,,
創客俱樂部發生過最振奮人心的事情,我們副社每天都會唱歌振奮人心,,,
創客俱樂部的成員多來自哪些系所,本社的成員大多來自電機系、資工系、光電系與機械系等工程領域科系，或者其延伸的院所。然而我們依然歡迎其他系所的成員加入，例如本屆（第九屆）的其中一個教學就是管科系的！,,,
創客俱樂部有社團logo嗎,"在歷屆的更迭中，我們有許多社團 Logo 不斷出現而沿用至今。目前最常見的有兩款 Logo：
 - 一款使用於我們的 Facebook 與 Instagram ，以黃與藍為主色調，將創左側的「倉」偏旁繪製成電路板上接線的一部分，並將右側的「刂」偏旁繪製成象徵靈感的黃色燈泡的一部分。
 - 另一款使用於我們 Github 與 YouTube 上。以藍色與黑色為主色調，將象徵創意的大腦繪製於宛若銀河系的星點上，並在下方寫下大大的 Makereal Labs。",,,
創客俱樂部logo設計想法是什麼,"在歷屆的更迭中，我們有許多社團 Logo 不斷出現而沿用至今。目前最常見的有兩款 Logo：
 - 一款使用於我們的 Facebook 與 Instagram ，以黃與藍為主色調，將創左側的「倉」偏旁繪製成電路板上接線的一部分，並將右側的「刂」偏旁繪製成象徵靈感的黃色燈泡的一部分。
 - 另一款使用於我們 Github 與 YouTube 上。以藍色與黑色為主色調，將象徵創意的大腦繪製於宛若銀河系的星點上，並在下方寫下大大的 Makereal Labs。",,,
創客俱樂部過去舉辦了哪些活動,"- 舉辦寒、暑假創客營隊，帶領學員接觸創客的領域，體驗其中的樂趣，打造國家未來的人才。
- 承接女中 STEM 工作坊計劃案：鼓勵女高中生接觸大一電機的知識，打破性別刻板印象、促進平等。
- 社課：創客社的教學會自主研發專案，並帶領社員以「做中學」的方式獲得技能。
- 社員大會：每年至少會有一次。
- 服務性質（無盈利）的營隊：如去年我們到花蓮國風國中服務過，帶領偏鄉學子學習 Pygame。",,,
創客俱樂部過去舉辦的活動對社團成員有何影響或貢獻,每次舉辦活動，都會加深社團的向心力。每次我們舉辦活動都會有不少的社員參加，在互相合作、磨合的過程中，在努力學習、準備的過程中，往往會獲得意想不到的收穫。,,,
創客俱樂部過去舉辦的活動對校園有何影響或貢獻,本社提升了本校的創客風氣與工程領域的實作風氣，並讓工程領域的菁英有一個交流的好地方，也使得非工程領域的同學有學習的場所。本社亦常有蘊含美感之專案。是故，本社作為學藝性社團，在學術與藝術方面皆對學校有所貢獻。,,,
創客俱樂部未來有什麼計畫或目標,持續增進社團實力，為社員們準備更多更實用的電子元件及設施，並且增取在更多的活動中展露頭角，讓大家了解創客精神,,,
創客俱樂部有舉辦過回響很大的活動嗎,有喔，創客俱樂部每年寒暑假都會辦理有趣且好玩的創客營，在營期中甚至有舉辦小黑客松，每次報名都爆滿,,,
創客俱樂部是否有舉辦過募款活動,沒有喔！我們社團有良好的營利模式，並且在舉辦活動時都會量入為出，所以經費可以自給自足。,,,
創客俱樂部舉辦過什麼募款活動,我們沒有舉辦過募款活動喔！我們社團有良好的營利模式，並且在舉辦活動時都會量入為出，所以經費可以自給自足。,,,
創客俱樂部是否有與產業界合作,曾經有喔！我們曾與聯發科的卓爾榮譽學會合作。,,,
創客俱樂部與哪些產業界合作,曾經有喔！我們曾與聯發科的卓爾榮譽學會合作。,,,
創客俱樂部是否有參與社會服務的活動,創客俱樂部在 112、113 學年度，也預計在 114 學年度開設女高中生 STEM 一日工作坊，我們希望能在高中生端推廣創客與科技風氣；也曾在 112 年暑假至花蓮國風國中開設公益性質 Pygame 營隊，教導當地學童如何使用 Python 製作小遊戲。而在 113 年暑假，我們也將至國立竹北高中開設公益性質 JavaScript 工作坊，希望能啟發高中生對於電機資工方面的興趣。,,,
創客俱樂部參與過哪些社會服務的活動,創客俱樂部在 112、113 學年度，也預計在 114 學年度開設女高中生 STEM 一日工作坊，我們希望能在高中生端推廣創客與科技風氣；也曾在 112 年暑假至花蓮國風國中開設公益性質 Pygame 營隊，教導當地學童如何使用 Python 製作小遊戲。而在 113 年暑假，我們也將至國立竹北高中開設公益性質 JavaScript 工作坊，希望能啟發高中生對於電機資工方面的興趣。,,,
創客俱樂部是否有參與環保或永續發展的活動,有喔！我們提倡使用環保材料，如使用廢木料壓制成的密迪板，並且我們正在計畫購買回收塑料作為 3D 列印的印料。,,,
創客俱樂部參與過哪些環保或永續發展的活動,有喔！我們提倡使用環保材料，如使用廢木料壓制成的密迪板，並且我們正在計畫購買回收塑料作為 3D 列印的印料。,,,
創客俱樂部是否有參與人權或社會正義的活動,目前沒有喔！但我們歡迎各類合作。,,,
創客俱樂部參與過哪些人權或社會正義的活動,目前沒有喔！但我們歡迎各類合作。,,,
創客俱樂部的會議和活動是否有參與度要求,沒有喔，整個社團充斥著一股非常自由的氣氛,,,
創客俱樂部有沒有國際交流的機會,有的！我們致力於推廣國際交流，社員中有國際生，我們也時常接觸國內外創客社群。,,,
參與創客俱樂部國際交流的活動有什麼門檻嗎,沒有喔！我們各類活動都歡迎大家參與。,,,
創客俱樂部的活動頻率如何,創客俱樂部是一個非常活躍的社團組織，每學期會舉辦兩到三次大型社課，帶領社員做出各種有趣的創客專案作品，在寒假以及暑假期間也會舉辦創客營隊，帶領高中生接觸創客領域。另外，從下學期（113 學年度上學期）開始，沒有社課的那幾個禮拜，我們會舉辦 Maker's Night 讓社員一起討論，或者甚至舉辦講座喔！歡迎大家踴躍參與！,,,
創客俱樂部有參加限制嗎,沒有喔，無論學校、校系、是否為社員、是不是大學生，只要你有興趣，都可以參與我們的活動！,,,
創客俱樂部的加入條件,想成為創客俱樂部社員的話，只要繳交 500 元入社費給當屆總務，就可以終生享有與社員同等的資格喔！,,,
創客俱樂部有社團章程嗎,陽明交大社團入口網可以下載組織章程： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,,,
創客俱樂部社團章程去哪裡看,你可以去陽明交大社團入口網看喔！ https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,,,
創客俱樂部社團章程重點整理,本社的社團章程規範了以下主題：社員規範、組織架構與營運模式、以及章程修訂規範。,,,
創客俱樂部社團章程大概在講什麼,本社的社團章程，主要有提到社員的加入方式以及權利、義務、組織架構、幹部遴選方式、組織財務管理、營運模式以及章程修訂規範。,,,
創客俱樂部的財務如何管理,"根據〈Makereal Labs 組織章程〉第 8.1 條第 1 項：
> 創客俱樂部設有社團銀行賬戶，印鑑與存簿分別由社長與總務保管。存
提款須由社長與總務共同前往。",社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部的財務如何分配,"根據〈Makereal Labs 組織章程〉第 8.1 條第 2 項：
> 款項之運用，應另以細則訂之。

而目前細則之大綱如下：使用經費需要先寫一份預算書，並找社長說明，社長同意後方可使用這筆經費，在購買時需要打上本校統編，最後再向總務請款。",社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部如何處理社團與社團間的衝突,創客俱樂部秉持公正、公平、就事論事的精神，在遇到社團衝突時，會與對方理性討論、共同尋找最好的解法。,,,
創客俱樂部如何處理社團成員間的衝突,創客俱樂部秉持公正、公平、就事論事的精神，如果有遇到社員間衝突，會請雙方冷靜、並理性溝通，共同尋找最好的解法。,,,
創客俱樂部對學校有哪些貢獻,創客俱樂部提供學生良好的創客環境，使學生可以有一個互相交流，砥礪技術，發揮創意的地方。同時，社團也會舉辦各式活動，例如社課、營隊、工作坊等，社員可以在這些活動中學習到技術、擴展人脈、同時累積舉辦活動、教學的經驗等。,,,
創客俱樂部成員的參與情況如何,創客俱樂部主要有當屆幹部以及社員，當屆幹部會負責經營社團一年，主要為開社課、舉辦營隊或者是其他活動，而社員除了可以參與社課、一起舉辦營隊之外，有些退休的學長姐也會舉辦工作坊讓其他社員有機會一起參與!,,,
創客俱樂部平時活動很多人參加嗎,創客俱樂部會舉辦不同形式的活動，以社課來說，平均會有10人左右參與，而暑、寒假營隊的話我們都會招收到40人以上的學員來參加營隊，並且有超過20人擔任營隊工人。,,,
創客俱樂部的入社流程很麻煩嗎,創客俱樂部入社非常簡單，只要兩步驟。第一步，填寫入社表單，第二步，繳費。整體流程花不超過五分鐘。,,,
創客俱樂部的入社流程,創客俱樂部入社非常簡單，只要兩步驟。第一步，填寫入社表單，第二步，繳費。整體流程花不超過五分鐘。,,,
創客俱樂部適合什麼樣特質的人參加,"創客俱樂部適合以下特質的人參加：

1.好奇心強：對新技術、新概念和新方法感興趣，喜歡探索未知領域的人。
2.創新思維：能夠提出創新想法，並願意嘗試不同的方法來解決問題的人。
3.動手能力強：喜歡親自動手製作、修理或改造物品，對DIY和手工藝有興趣的人。
4.協作精神：樂於與他人合作，分享知識和技能，並參與團隊項目的人。
5.自我驅動：具有自主學習和自我驅動能力，能夠在沒有明確指導的情況下獨立工作和學習的人。
6.解決問題：喜歡解決實際問題，具有分析和解決問題的能力，並且不怕挑戰和挫折的人。
7.開放包容：對不同的意見和想法持開放態度，願意接受和學習新的觀點和技術的人。
8.創業精神：有創業想法或夢想，希望通過自己的努力創造有價值產品或服務的人。
9.技術熱愛者：對技術、工程、編程、設計等領域有濃厚興趣的人，無論是專業人士還是業餘愛好者。
10.持續學習者：願意不斷學習和提升自己技能，並保持對新知識和新技術的渴望和熱情的人。

總的來說，創客俱樂部適合那些熱愛創新、動手實踐、願意合作和不斷學習的人參加。這些俱樂部為成員提供了一個自由開放的平台，讓他們能夠發揮創意、實現夢想，並在這個過程中獲得成長和進步。",,,
創客俱樂部有哪些活動是對外開放的,我們幾乎所有活動都是對外開放的，尤其是 Facebook 粉絲專頁與 Instagram 上公佈的。請隨時關注我們的 Facebook 粉絲專頁喔！如果有任何疑問，也歡迎隨時私訊我們的 Facebook 粉絲專頁喔！,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部的主要溝通渠道是什麼,"創客俱樂部與社員的主要溝通渠道，包括但不限於以下幾種：
1. 即時通訊應用：我們的大大群位在 Messenger，請社員向幹部要求加入！
2. 電子郵件：本社的 Email 地址為 makereallabsnctu@gmail.com
3. 社交媒體和網絡平台：本社使用 Facebook 粉絲專頁與 Instagram。如有任何疑問，歡迎私訊","Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部常會有畢業的學長姐回來幫忙嗎,在寒假與暑假創客營時，學長姐們常常會作為機動組的工人，回來幫助我們。在平常的時候，偶爾也會看到歷屆學長姐回到社團的實驗室，這個時候他們也很歡迎學弟妹問問題。,,,
創客俱樂部的成員凝聚力強嗎,"本社的成員凝聚力很強喔！這大概是因為以下的原因：
1. 我們有共同目標與興趣
2. 我們為了打比賽，會有很多事前的準備與合作
3. 我們之間常互相分享與學習技能
4. 我們會舉辦很多社課與活動，讓社員可以參與或者當工人

原因不勝枚舉。總之，歡迎大家加入創客俱樂部！",,,
創客俱樂部裡面的風氣如何,我們具有開放、創新與互相合作、互相學習的風氣。如果你缺少哪個創客技術的話，你可以問社團裡的任何人。總之，不怕做不出來，我們只怕不敢想像！,,,
創客俱樂部的成員經常會有衝突嗎,由於我們開放包容的風氣，幾乎不會發生衝突。,,,
創客俱樂部的長遠發展,"在未來五年或十年內，創客俱樂部 Makereal Labs 將致力於以下中長程計畫與目標，以推動台灣生態系的發展：
1. 建立跨校交流與合作：建立創客社聯合 Discord 群，互相交流社課內容與技術內容。線上錄製 YouTube 影片／將社課內容傳到網路上，以供人免費學習。
2. 推動綠色創客：專案優先使用環保材料，例如採用以廢木料製成的密底板代替實木。選購回收廢塑膠製成的 3D 列印耗材代替傳統塑膠線。製作專案時，優先從環保方面發想；想辦法進行廢物利用，將垃圾作為專案材料。
3. 發展創客產業：
    - 中程規劃：積極參與各類創客相關的創業競賽和活動，並鼓勵社員將自己的創意轉化為具有市場潛力的產品。研發簡單 DIY 材料包，並且於 Github 上免費開源，供人參考。
    - 長程規劃：尋求與創投、天使投資人和產業界合作，以促進創客產業的發展>將極具潛力的專案發展為產品，並視情況與研發者一同建立公司，締造共榮關係。
4. 向高中以下各級學校學生提供資源：
    - 中程規劃：每年寒暑假舉辦創客營，鼓勵高中生來學習創客知識。不定時舉辦服務學習活動，前往偏鄉國小或有合作的高中等等，教學低成本而有技術含量的社課。
    - 長程規劃：與高中、高職建立長期穩定而正式的合作關係。
5. 擴大社團影響力至社會各界
    - 中程規劃：參與明年的學藝性社團展覽。配合創客技術，進行藝術展覽品的開發。
    - 長程規劃：與當地企業合作，交流技術與合作開發專案；為企業提供創新解決方案，並為社團成員提供實習和工作機會。與居民社區合作，以創客技術解決問題。如參與環保專案、改善公共空間、提升居民生活品質等。舉辦定期的創客嘉年華或創客展覽。",,,
創客俱樂部的內部規則,我們一視同仁，規則就是規則，不會分內外部分。多數的規則都寫在〈Makereal Labs 組織章程〉了，歡迎大家查閱。,社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5,〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部社員參與社團活動的積極性,本社社員都很積極參與我們的社團。不論是社課還是其他活動，從來不怕冷清。有任何報名的時候，先搶先贏！,,,
創客俱樂部每個學期最主要的活動,寒假與暑假創客營，與每學期至少兩堂的社課，是我們最主要的活動。但是我們還會有不少的小活動、比賽與專案等等，歡迎大家踴躍參與！,,,
創客俱樂部過去的成就,多到列不出來，以黑客松得到的名次為主。這些獎項從實驗室與社辦的擺滿的獎盃、獎牌就可以知道。如果有空的話，歡迎來參觀！,,,
學校教授可以參加創客俱樂部嗎,可以喔！不如說，我們十分期待學校教授能參與我們的社團，將他專業領域的知識帶給我們。我們也期待與校內教職員們達成良好的互動關係，甚至是長遠的合作！,,,
學校的老師可以參加創客俱樂部嗎,可以喔！不如說，我們十分期待學校教授能參與我們的社團，將他專業領域的知識帶給我們。我們也期待與校內教職員們達成良好的互動關係，甚至是長遠的合作！舉例而言，我們的社課常常會有清大的老師來參加呢！,,,
哪裡可以看到社團博覽會相關資訊,如果想看到本校社團博覽會的相關資訊，請關注學生事務處的最新消息！另外，如果想知道本社的社團博覽會相關資訊，則請隨時關注本社的 Facebook 粉絲專頁與 Instagram！,"學生事務處社團博覽會簡介： https://osa.nycu.edu.tw/osa/ch/app/artwebsite/view?module=artwebsite&id=3518&serno=4355c4f4-5b04-4386-8175-d0f526595479 
Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu",,
社團博覽會會有創客俱樂部嗎,會喔！每年的社團博覽會，本社一定會參與。歡迎大家在社團博覽會的時候來到我們的攤位上，與我們互動，並且認識創客俱樂部！,,,
社團博覽會創客俱樂部會有表演嗎,沒有上台表演，但歡迎大家來我們攤位逛逛，看看有趣的創客作品！,,,
社團博覽會創客俱樂部在幹嘛,我們會擺攤宣傳我們的社團活動與研發作品，歡迎與我們互動！,,,
參加創客俱樂部可以獲得什麼樣的技能提升,為了創作我們的「夢」，我們會常常接觸到 Arduino 相關工具。所以，像是程式能力、電子元件接線、焊接，甚至設計 PCB 板、3D建模、3D列印、雷切的技能都能有所提升。,,,
參加創客俱樂部還可以兼顧學業嗎,我們的幹部、社員與學長姐有不少人都是攻讀電資、機械相關科系的，課業都不輕，但大家都能兼顧。不論是在社團、學業、交友方面有任何問題，都能諮詢我們或是學長姐們，因此兼顧學業是沒問題的。,,,
參加創客俱樂部可以學到什麼,身為創客，會需要用到各方面的技能。因此，像是創意發想、專案規劃、程式能力、硬體設計、焊接、3D建模、雷切等等的技能都能學習到。,,,
參加創客俱樂部可以獲得什麼好處,我們會定期開設專案型社課。凡是我們的社員，報名我們社課都能享有折價300元或者其他優惠！並且，我們實驗室配有3D列印機、雷切機以及很多電子電路相關工具、零件，我們的社員都能在幹部陪同下使用它們。,,,
參加創客俱樂部會需要花費很多時間在社團活動上嗎,我們的社課都是自由參加的，因此可以不用花很多時間在社團活動上。,,,
要怎麼當上創客俱樂部的幹部,只要你是大一學生，並參與寒假創客營的工人，就能向幹部表達有擔任下一屆幹部的意願。經當屆們共同討論後決定是否勝任，他們認為適任的話即可當上下一屆幹部。,,,
當上創客俱樂部的幹部需要哪些技能,一顆創意的心、喜愛學習的態度，以及擔任幹部的熱忱。只要有心，專業技能都能在當上幹部後再去學習。,,,
什麼樣特質的人適合當創客俱樂部的幹部,或許是肝很健康的人，還有富有教學、參賽熱忱的人。通常並不是特質決定你能不能當幹部，而是當了幹部後你會學習到必要的特質，包含善於與人協作、懂得時間掌控，喜歡挑戰自我極限等等。,,,
我想認識新朋友，創客俱樂部適合嗎,適合。在這裡能交到非常多厲害的創客同好！,,,
我該怎麼跟創客俱樂部取得聯繫,可以聯絡我們的 FB ( https://www.facebook.com/Makereal.Labs )、IG ( https://www.instagram.com/makereallabs_nctu )粉專。,,,
我什麼都不會，我可以參加創客俱樂部嗎,可以！只要有學習熱忱與創意，都歡迎加入我們。這裡有非常多厲害的幹部與學長姊可以一同交流。,,,
哪裡可以了解創客俱樂部的資訊,"在我們的 FB、IG 粉專上，就能獲得我們的最新資訊。
- Facebook： https://www.facebook.com/Makereal.Labs
- Instagram： https://www.instagram.com/makereallabs_nctu
只要搜尋「交大創客俱樂部」就能找到我們的粉專囉～

另外，你如果是社員的話，請跟任何一個幹部要求加入 Messenger 大大群！",,,
要怎麼加入創客俱樂部,只要私訊我們 FB、IG 粉專，並於之後繳交社費、加入我們大大群，就能成為我們的一員囉～如果還在猶豫的話，也可以先來我們的茶會、社課聽聽看，我們都很友善的！,,,
我想加入創客俱樂部，該怎麼做,私訊我們 FB、IG 粉專，並於之後繳交社費、加入我們大大群即可。此外，也可以透過參加我們的茶會、社課來認識我們喔！,,,
參加創客俱樂部會需要準備什麼嗎,準備好你的創意與熱忱！（還有部分社課的材料費w）多數上課會用到的器材，例如電烙鐵、雷切機、3D 列印機的各種裝置，社員都可以跟社團借用。少部分的耗材如 LED 燈、焊錫與 3D 印料，社員也可以免費取用。其他你需要的技能，我們會帶著你學習！,,,
哪裡可以知道創客俱樂部舉辦的活動,"請關注我們的 Facebook 與 Instagram 帳號！我們將不定期更新活動資訊！
- Facebook： https://www.facebook.com/Makereal.Labs
- Instagram： https://www.instagram.com/makereallabs_nctu

另外，你如果是社員的話，請跟任何一個幹部要求加入 Messenger 大大群！",,,
哪裡可以知道創客俱樂部舉辦的招募活動,"請關注我們的 Facebook 與 Instagram 帳號！當我們需要辦理大型活動的時候（例如寒暑假創客營，或者服務學習營），我們會透過這些渠道招募工人。
- Facebook： https://www.facebook.com/Makereal.Labs
- Instagram： https://www.instagram.com/makereallabs_nctu

另外，你如果是社員的話，請跟任何一個幹部要求加入 Messenger 大大群！",,,
加入創客俱樂部對學業有何影響,加入創客俱樂部會對你的學業有正向的影響！如果你是資工、電機、光電等工程領域的學生，你將獲得把理論與實務相結合的能力，在構思、創作與實踐中累積經驗與樂趣，所以你在課業內容上不會迷茫。如果你是其他領域的學生，你將成為 π 型人才，獲得你的專業 + 工程領域專業的視野與技能，達到 1 + 1 > 2 的效果！,,,
參加創客俱樂部後會占用到很多時間嗎,不會！我們的課程與活動，都是給社員自由參與的。你可以在評估自己的時間規劃之後，再選擇性地成為部分活動的工人或下一屆的幹部。,,,
加入創客俱樂部後，如何平衡學業與社團活動,你可以根據自己的學業情形，選擇要不要參與個別的社團活動或課程。萬一你真的有一些課業上的突發性因素致使你不能來參加創客俱樂部的活動，你也可以臨時請假。我們通常都會針對社課內容錄影，供你可以補課。,,,
加入創客俱樂部後，一個禮拜要花多久時間在社團活動上,多久時間都可以！看你的時間安排，你可以自由選擇要不要參加各種活動。我們每週的社課或 Maker's Night，平均一週預計只會花上三個小時。但你如果想要在課外時間來到社辦，繼續探索或完成你的作業也可以。,,,
哪裡可以看到創客俱樂部相關資訊,"在我們的 Facebook 粉絲專頁與 Instagram 上，就能獲得我們的最新資訊。
- Facebook： https://www.facebook.com/Makereal.Labs 
- Instagram： https://www.instagram.com/makereallabs_nctu 
只要搜尋「交大創客俱樂部」就能找到我們的粉專囉～

另外，你如果是社員的話，請跟任何一個幹部要求加入 Messenger 大大群！",,,
參加創客俱樂部後我還可以參加其他社團嗎,可以的！在本社的〈Makereal Labs 社團章程〉與學校的〈國立陽明交通大學學生社團設置及輔導辦法〉中，皆沒有限制可參加的社團數量。本社也不會給社員很大的負荷。譬如本屆（第九屆）的副社長，就同時參加了創客俱樂部與書法社呢！,"社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 
國立陽明交通大學學生社團設置及輔導辦法： https://osa.nycu.edu.tw/osa/ch/app/data/doc?module=nycu0014&detailNo=1187646291388141568&type=s ","〈Makereal Labs 組織章程〉（2024 年修訂）
〈國立陽明交通大學學生社團設置及輔導辦法〉",
非社團成員可以參加創客俱樂部的社團活動嗎,"可以喔！只要繳納該次社團活動的原價，即可參加活動。社課的價格，皆會公佈於本社的 Facebook 粉絲專頁與 Instagram。
- Facebook： https://www.facebook.com/Makereal.Labs 
- Instagram： https://www.instagram.com/makereallabs_nctu",,,
非社團成員參加創客俱樂部的社團活動會需要繳錢嗎,不論是社員或非社員，由於材料費與其他雜支的緣故，參加社團活動或課程都需要繳錢喔！但是社員會享有一定程度上的折扣優惠，歡迎大家入社！,,,
非社團成員參加創客俱樂部的社團活動會需要準備什麼嗎,"根據該次社團活動或課程的要求，社員與非社員都需要攜帶要求的器具（通常是手機用的變壓器等等）。請參閱 Facebook 粉絲專頁與 Instagram 上的最新資訊！
- Facebook： https://www.facebook.com/Makereal.Labs 
- Instagram： https://www.instagram.com/makereallabs_nctu ",,,
校外人士可以加入創客俱樂部嗎,依照學校規定，僅陽明交通大學在學生可以成為本校社團之社員。然而校外人士依舊可以在繳交同等的入社費用之後，作為本社社友，享有與社員相當的權利與義務。,,,
校外人士可以參加創客俱樂部的社團活動嗎,"可以喔！只要繳納該次社團活動的原價，即可參加活動。社課的價格，皆會公佈於本社的 Facebook 粉絲專頁與 Instagram。
- Facebook： https://www.facebook.com/Makereal.Labs 
- Instagram： https://www.instagram.com/makereallabs_nctu",,,
校外人士參加創客俱樂部的社團活動會需要繳錢嗎,不論是社員或非社員、校內或校外人士，因為材料費與其他雜支，參加社團活動或課程都需要繳錢喔！但是可以透過繳交社費後，成為社友並享有一定程度上的折扣優惠。歡迎大家成為社友！,,,
校外人士參加創客俱樂部的社團活動會需要準備什麼嗎,"根據該次社團活動或課程的要求，各類參與者都需要攜帶要求的器具（通常是手機用的變壓器等等）。請參閱 Facebook 粉絲專頁與 Instagram 上的最新資訊！
- Facebook： https://www.facebook.com/Makereal.Labs 
- Instagram： https://www.instagram.com/makereallabs_nctu ",,,
加入創客俱樂部後有什麼責任,"依照〈Makereal Labs 組織章程〉第 4 條第 5 項
> 社員應遵守本社規章、維護財產，及盡繳納社費之義務。

換句話說，如果你要加入社團，你必須繳納社費。繳納之後，如果你要借用社團的器材，就須要遵守本社的相關規範，並儘力不要毀損之。詳細內容請參閱社團入口網上的社團章程。",社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
我可以參加幾次社團活動之後再決定要不要加入創客俱樂部嗎,創客俱樂部的社課會對外開放，可以在參加幾次社課之後再行決定是否要入社。然而，社員參與社課的費用會有所減免，因此建議在確定自己想要加入這個社團之後盡早入社,,,
